Years,Co2
1960,8.582936643
1961,8.641569017
1962,8.835688047
1963,9.226439909
1964,9.759073431
1965,10.62232139
1966,10.32809244
1967,10.9556248
1968,11.21016771
1969,11.60055435
1970,11.80289054
1971,11.80911757
1972,11.95163155
1973,12.77968685
1974,12.55966873
1975,12.65989981
1976,12.41679178
1977,13.23189614
1978,14.06985862
1979,14.12909198
1980,15.02491601
1981,15.43250084
1982,15.42493181
1983,14.64008413
1984,15.2209753
1985,15.3084102
1986,14.98057315
1987,15.7469578
1988,15.79616778
1989,16.51986292
1990,15.44673046
1991,15.31532053
1992,15.33923978
1993,15.4163129
1994,15.60739289
1995,15.99214254
1996,16.36120365
1997,16.56693849
1998,17.51162418
1999,17.59695657
2000,17.68965697
2001,17.76953588
2002,17.95749921
2003,17.69202931
2004,18.14789789
2005,18.11785357
2006,18.12067891
2007,18.50285198
2008,18.28304124
2009,18.20742496
2010,17.58144496
2011,17.26811037
2012,16.96925656
2013,16.398646
2014,15.7558761
2015,15.7864494
2016,15.87207954
2017,15.7386474
2018,15.47551649
