Years,Co2
1960,10.77084729
1961,10.62789765
1962,11.13062748
1963,11.1321024
1964,12.3053704
1965,12.81400147
1966,12.93491815
1967,13.8103546
1968,14.6326452
1969,14.61864861
1970,16.01414875
1971,16.05533218
1972,17.15406592
1973,16.96713528
1974,17.09800561
1975,17.16020892
1976,17.02862407
1977,17.20283524
1978,17.35562946
1979,18.26610116
1980,18.07962055
1981,17.32493528
1982,16.51518883
1983,16.11132555
1984,16.62025251
1985,16.33299046
1986,15.51911259
1987,16.31019464
1988,17.02217437
1989,16.98419297
1990,15.1355282
1991,14.72781732
1992,15.01519284
1993,14.7353487
1994,15.1313782
1995,15.340087
1996,15.64189767
1997,16.00116472
1998,16.14184074
1999,16.28681103
2000,16.78304541
2001,16.34188458
2002,16.75601646
2003,17.23421557
2004,16.82025619
2005,17.0566373
2006,16.61192808
2007,17.37084027
2008,16.54880282
2009,15.48668191
2010,15.73391403
2011,15.95022477
2012,15.7612635
2013,15.85812871
2014,15.85413843
2015,15.65138616
2016,15.24474718
2017,15.38529105
2018,15.49702527
