Years,Co2
1960,2.497223223
1961,3.010133103
1962,3.088711554
1963,3.391267602
1964,3.708020691
1965,3.950096353
1966,4.246220625
1967,4.904753392
1968,5.569348596
1969,6.397617977
1970,7.435211938
1971,7.545561028
1972,7.961462468
1973,8.424010496
1974,8.313879441
1975,7.79823754
1976,8.059433562
1977,8.212847276
1978,7.865830359
1979,8.245924584
1980,8.112280386
1981,7.900719032
1982,7.597913817
1983,7.408104093
1984,7.829008203
1985,7.575468416
1986,7.534733854
1987,7.419855426
1988,8.068997495
1989,8.333129301
1990,8.848215877
1991,8.919202349
1992,8.981072936
1993,8.889440755
1994,9.290290626
1995,9.347025631
1996,9.432715475
1997,9.313167853
1998,8.949762658
1999,9.206987231
2000,9.32609604
2001,9.206678778
2002,9.470516693
2003,9.519253355
2004,9.479340331
2005,9.49981608
2006,9.309524927
2007,9.58086265
2008,9.055074456
2009,8.600045296
2010,9.026938393
2011,9.482449759
2012,9.811406499
2013,9.893679627
2014,9.584053553
2015,9.292832367
2016,9.22394197
2017,9.085639143
2018,8.74225771
