Years,Co2
1960,0.437449901
1961,0.475265155
1962,0.468692942
1963,0.553699657
1964,0.694262385
1965,0.680930405
1966,0.785832561
1967,0.843901364
1968,0.826482914
1969,0.903072261
1970,1.351519525
1971,1.507581062
1972,1.58184889
1973,1.51075122
1974,1.604742761
1975,1.59889811
1976,1.9163341
1977,1.767800522
1978,1.770789813
1979,2.026652457
1980,2.029087858
1981,2.180888011
1982,2.112592412
1983,2.562297268
1984,2.283864458
1985,2.323063693
1986,2.49224794
1987,2.467156648
1988,2.509871775
1989,2.845702093
1990,3.116502968
1991,3.41955733
1992,3.62422945
1993,3.65359824
1994,3.854334585
1995,4.094183
1996,4.553798411
1997,4.753559256
1998,4.659355404
1999,4.934405111
2000,5.244833936
2001,5.346888739
2002,5.631518427
2003,5.822545133
2004,6.251129636
2005,6.477462684
2006,6.590348185
2007,7.048555882
2008,7.384710598
2009,6.526762285
2010,7.058628841
2011,7.038856147
2012,6.99321172
2013,7.459383568
2014,7.757158614
2015,7.682279042
2016,7.451282159
2017,7.165808462
2018,7.600220413
