Years,Co2
1960,1.606592711
1961,1.74622172
1962,1.935781533
1963,1.879509312
1964,2.037725257
1965,2.225610193
1966,2.407735709
1967,2.647227559
1968,2.93409754
1969,2.897101868
1970,3.457969859
1971,3.75994979
1972,4.190966866
1973,4.440462955
1974,4.89498864
1975,5.079852145
1976,5.491294603
1977,5.358942976
1978,5.438594324
1979,5.478315887
1980,5.734778954
1981,5.48982234
1982,5.525887108
1983,5.367036187
1984,5.190482538
1985,5.230998485
1986,4.93636136
1987,4.934193197
1988,5.134110769
1989,5.837882861
1990,5.53215372
1991,5.702608834
1992,5.937021047
1993,5.541234933
1994,5.776615746
1995,6.056280767
1996,5.7683844
1997,6.206345601
1998,6.369906713
1999,6.891100141
2000,7.230107062
2001,7.216328687
2002,7.548593756
2003,7.553396261
2004,7.817921366
2005,8.029202013
2006,7.698212588
2007,7.842252303
2008,7.053994261
2009,6.200857038
2010,5.866642426
2011,5.87043576
2012,5.756947029
2013,5.208060181
2014,5.18406686
2015,5.517944386
2016,5.314294607
2017,5.654039569
2018,5.5203504
