Years,Temperature
1961,0.057
1962,-0.118
1963,0.335
1964,-0.299
1965,-0.867
1966,-0.152
1967,-0.452
1968,0.476
1969,-0.003
1970,0.426
1971,-0.023
1972,-1.796
1973,0.306
1974,-0.846
1975,0.225
1976,0.083
1977,1.079
1978,-0.605
1979,-0.214
1980,0.917
1981,1.562
1982,-0.673
1983,0.488
1984,0.337
1985,-0.311
1986,0.011
1987,1.34
1988,1.204
1989,0.017
1990,0.078
1991,0.336
1992,0.1
1993,0.342
1994,0.467
1995,0.938
1996,-0.125
1997,0.426
1998,2.47
1999,1.694
2000,1.291
2001,1.421
2002,0.54
2003,1.24
2004,0.485
2005,1.282
2006,2.343
2007,1.333
2008,0.851
2009,0.539
2010,2.915
2011,1.438
2012,2.144
2013,1.182
2014,0.288
2015,1.231
2016,2.373
2017,1.48
2018,0.477
2019,1.311
2020,1.128
2021,2.515
2022,1.268
