Year,Temperature
1961,-0.208
1962,-0.479
1963,-0.03
1964,-0.03
1965,-0.072
1966,0.29
1967,-0.21
1968,-0.234
1969,0.303
1970,0.033
1971,-0.519
1972,0.012
1973,0.332
1974,0.034
1975,-0.308
1976,0.003
1977,0.155
1978,-0.15
1979,0.305
1980,0.401
1981,0.072
1982,-0.017
1983,-0.135
1984,-0.107
1985,0.211
1986,0.19
1987,0.578
1988,0.504
1989,-0.018
1990,-0.081
1991,0.19
1992,0.035
1993,0.223
1994,0.107
1995,0.238
1996,0.339
1997,-0.064
1998,0.614
1999,0.468
2000,0.35
2001,0.473
2002,0.827
2003,0.665
2004,0.545
2005,0.567
2006,0.638
2007,0.607
2008,0.263
2009,1.134
2010,1.129
2011,0.365
2012,0.516
2013,0.451
2014,0.53
2015,0.711
2016,1.088
2017,0.966
2018,0.874
2019,0.802
2020,0.52
2021,0.733
2022,0.79
