Year,Temp
1961,0.668
1962,0.125
1963,-0.053
1964,0.266
1965,-0.519
1966,0.019
1967,0.034
1968,-0.498
1969,-0.049
1970,-0.381
1971,-0.334
1972,0.227
1973,0.325
1974,-0.488
1975,0.041
1976,-0.506
1977,-0.154
1978,0.232
1979,0.458
1980,-0.206
1981,-0.631
1982,-0.041
1983,0.107
1984,-0.605
1985,0.13
1986,-0.686
1987,0.326
1988,-0.154
1989,0.556
1990,1.132
1991,0.726
1992,0.333
1993,0.012
1994,0.965
1995,0.348
1996,-0.127
1997,0.454
1998,1.199
1999,0.948
2000,0.636
2001,0.418
2002,0.63
2003,0.326
2004,1.116
2005,0.737
2006,0.39
2007,1.004
2008,0.671
2009,0.801
2010,0.922
2011,0.596
2012,0.395
2013,0.628
2014,0.56
2015,0.833
2016,1.323
2017,0.796
2018,0.926
2019,1.272
2020,1.437
2021,1.27
2022,1.335
